Toipic/Chapter Name,Video Title,Video Description,Video URL
Section 17,Validation and Verification,Validation and Verification,https://vimeo.com/691744687
Section 17,Business Process Modeling,Business Process Modeling,https://vimeo.com/691744863
Section 17,Decomposition,Decomposition,https://vimeo.com/691745007
Section 17,Defining Assumptions and Constraints,Defining Assumptions and Constraints,https://vimeo.com/691745188
Section 17,GUI Prototyping,GUI Prototyping,https://vimeo.com/691743596
Section 18,Solution assessment,Solution assessment,https://vimeo.com/691748731
Section 18,Solution validation,Solution validation,https://vimeo.com/691748920
Section 19,MOST and PESTLE,MOST and PESTLE,https://vimeo.com/691756476
Section 19,SWOT,SWOT,https://vimeo.com/691756612
Section 19,CATWOE,CATWOE,https://vimeo.com/691756737
Section 19,Five Whys,Five Whys,https://vimeo.com/691756822
Section 19,MoSCoW,MoSCoW,https://vimeo.com/691756932
Section 19,Six Thinking Hats,Six Thinking Hats,https://vimeo.com/691757058
Section 19,VPECT,VPECT,https://vimeo.com/691757150
Section 19,Introduction,Introduction,https://vimeo.com/691757300
Section 19,Requirements Management Tools,Requirements Management Tools,https://vimeo.com/691757409
Section 19,Modeling Tools,Modeling Tools,https://vimeo.com/691757569
Section 19,Other Tools,Other Tools,https://vimeo.com/691757690
Section 19,Process Simulation Tools,Process Simulation Tools,https://vimeo.com/691756337
Section 20,Communication Skills,Communication Skills,https://vimeo.com/691763058
Section 20,Facilitation Skills,Facilitation Skills,https://vimeo.com/691763194
Section 20,Domain Knowledge,Domain Knowledge,https://vimeo.com/691763380
Section 20,Negotiation,Negotiation,https://vimeo.com/691762908
Section 21,Process Improvement,Process Improvement,https://vimeo.com/696977171
Section 21,Business Process Improvement,Business Process Improvement,https://vimeo.com/696977471
Section 21,Process Simulation and ReDesign,Process Simulation and ReDesign,https://vimeo.com/691770561
Section 22,Design Thinking,Design Thinking,https://vimeo.com/691773261
Section 22,"Innovation, Design and the Customer","Innovation, Design and the Customer",https://vimeo.com/691773466
Section 22,Innovation,Innovation,https://vimeo.com/691773570
Section 22,Role of the Innovation,Role of the Innovation,https://vimeo.com/691773759
Section 22,Sample Personas in the Innovation Process,Sample Personas in the Innovation Process,https://vimeo.com/691773905
Section 22,Working with the Final User,Working with the Final User,https://vimeo.com/691774030
Section 22,Basic Methods Tools and Techniques Part 1,Basic Methods Tools and Techniques Part 1,https://vimeo.com/691774138
Section 22,"Basic Methods, Tools and Techniques Part 2","Basic Methods, Tools and Techniques Part 2",https://vimeo.com/691774411
Section 22,Competition and Market Research,Competition and Market Research,https://vimeo.com/691774658
